menu_item_id,restaurant_id,item_name,price
1,3,Hard,291
2,3,Through,376
3,9,Only,100
4,10,Hold,265
5,8,Building,109
6,2,Sound,285
7,5,Family,222
8,1,Painting,223
9,10,Draw,140
10,2,Surface,474
11,8,Laugh,135
12,9,Through,492
13,3,Option,165
14,8,Speak,381
15,3,Tell,235
16,9,Pretty,410
17,7,Positive,208
18,9,Republican,486
19,4,Question,465
20,5,Onto,304
21,6,Agree,324
22,9,Politics,331
23,2,Woman,226
24,4,Really,132
25,6,Themselves,110
26,10,Rule,383
27,4,Example,401
28,4,Air,103
29,2,Couple,462
30,1,Explain,217
31,2,Scientist,116
32,6,Sound,136
33,9,For,221
34,5,Will,442
35,8,Group,209
36,9,Have,167
37,10,According,395
38,8,Course,224
39,8,True,308
40,4,Character,148
