order_id,customer_id,restaurant_id,rider_id,order_date
1,4,7,6,2025-05-16
2,14,7,8,2025-05-08
3,2,2,1,2025-04-22
4,13,6,2,2025-04-25
5,8,4,4,2025-04-20
6,18,8,3,2025-04-23
7,14,3,5,2025-05-14
8,15,4,2,2025-04-29
9,15,9,2,2025-05-07
10,2,9,1,2025-05-09
11,3,4,3,2025-05-11
12,14,8,8,2025-05-05
13,7,7,1,2025-04-26
14,6,7,1,2025-05-06
15,13,5,8,2025-05-04
16,10,7,9,2025-05-04
17,16,3,4,2025-05-16
18,10,4,1,2025-05-17
19,19,9,1,2025-04-23
20,11,1,1,2025-04-21
21,19,8,9,2025-04-26
22,17,3,1,2025-04-26
23,17,2,3,2025-05-18
24,3,10,2,2025-04-21
25,8,7,2,2025-04-22
26,19,4,10,2025-05-02
27,20,1,10,2025-05-10
28,3,7,10,2025-05-09
29,19,9,6,2025-05-12
30,9,4,6,2025-05-18
